"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"5008 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.647568","-74.014714",NA
"5223 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.646374","-74.015902",NA
"560 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11218","40.643637","-73.970067",NA
"1779 FULTON STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.679215","-73.927814",NA
"115 HULL STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.679350","-73.912610",NA
"2103 ATLANTIC AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.676293","-73.909874",NA
"730 CONEY IS AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11218","40.640000","-73.968998",NA
"314 41 STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11232","40.652347","-74.008739",NA
"4520 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.650324","-74.011856",NA
"147 ESSEX STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10002","40.720502","-73.987211",NA
"145 WEST  116 STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10026","40.802582","-73.950985",NA
"39 TURNER PLACE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.645350","-73.970318",NA
"3904 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11232","40.653758","-74.008282",NA
"313 50 STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.647324","-74.013982",NA
"2071 ATLANTIC AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.676413","-73.912001",NA
"2129 ATLANTIC AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.676246","-73.908923",NA
"5 SOMERS STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.678459","-73.913037",NA
"4518 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.650332","-74.011846",NA
"589 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.642830","-73.969815",NA
"86 CLINTON STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10002","40.718622","-73.985296",NA
"5006 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.647576","-74.014706",NA
"3924 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11232","40.653678","-74.008365",NA
"299 MACDOUGAL STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.680506","-73.909057",NA
"145 ESSEX STREET","MANHATTAN",2022-01-06,"Open","Graffiti Reported","10002","40.720442","-73.987240",NA
"99 CLINTON STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10002","40.718430","-73.985415",NA
"5320 3 AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.645668","-74.016637",NA
"4324 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11232","40.651430","-74.010707",NA
"952 FIRST AVENUE","MANHATTAN",2022-01-06,"Open","Graffiti Reported","10022","40.755367","-73.965057",NA
"4422 3 AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.650876","-74.011283",NA
"3906 3 AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11232","40.653750","-74.008289",NA
"4606 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11220","40.649819","-74.012375",NA
"313 48 STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.648457","-74.012833",NA
"868 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.636198","-73.967919",NA
"4506 THIRD AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.650379","-74.011795",NA
"113 HULL STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.679342","-73.912679",NA
"5014 THIRD AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.647543","-74.014739",NA
"2018 BERGEN STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.674092","-73.913345",NA
"311 SARATOGA AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.675178","-73.916596",NA
"4006 3 AVENUE","BROOKLYN",2022-01-06,"Open","Property Research Required","11232","40.653181","-74.008880",NA
"5010 3 AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.647560","-74.014724",NA
"990 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11230","40.633426","-73.967117",NA
"4310 3 AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11232","40.651485","-74.010646",NA
"275 MARCUS GARVEY BOULEVARD","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11221","40.688118","-73.939051",NA
"2071 FULTON STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.678253","-73.910178",NA
"2142 FULTON STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.678306","-73.911440",NA
"271 WEST  126 STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10027","40.810442","-73.949708",NA
"608 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.642555","-73.969754",NA
"317 53 STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.645616","-74.015682",NA
"4702 3 AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11220","40.649272","-74.012937",NA
"5302 3 AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.645901","-74.016392",NA
"103-39 91 STREET","QUEENS",2022-01-06,"Open","Site to be cleaned.","11417","40.681079","-73.848330",NA
"2127 ATLANTIC AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11233","40.676246","-73.908930",NA
"69 CLINTON STREET","MANHATTAN",2022-01-06,"Open","Site to be cleaned.","10002","40.719341","-73.984950",NA
"519 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11218","40.644955","-73.970430",NA
"5002 3 AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.647592","-74.014688",NA
"2187 BERGEN STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.673797","-73.907852",NA
"795 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.637960","-73.968404",NA
"992 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11230","40.633387","-73.967106",NA
"141 ESSEX STREET","MANHATTAN",2022-01-06,"Open","Graffiti Reported","10002","40.720318","-73.987305",NA
"315 53 STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.645633","-74.015708",NA
"67 EAST    7 STREET","MANHATTAN",2022-01-05,"Open","Graffiti Reported","10003","40.727498","-73.986965",NA
"35 GRAHAM AVENUE","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11206","40.702593","-73.942432",NA
"8516 23 AVENUE","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.601030","-73.991145",NA
"810 BLAKE AVENUE","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11207","40.668737","-73.888685",NA
"37 KENMARE STREET","MANHATTAN",2022-01-05,"Open","Site to be cleaned.","10012","40.720747","-73.995296",NA
